ÊµÑéÈËÔ±±àºÅ,ÄêÁä,Éí¸ß,ÌåÖØ,BMI,ÈÕÆÚ,Ê±¼ä,ÎÂ¶È£¨¡æ£©,Êª¶È£¨%£©,ÈÈÊæÊÊ½ÓÊÜ³Ì¶È£¨-3~3£©,ÈÈ¸Ğ¾õ£¨-3~3£©,ÓĞÎŞ·ç¸Ğ
1,22,164,45,16.73111243,2018/7/7,8:50:00,27.7¡æ,59,-0.5,1.7,0
1,22,164,45,16.73111243,2018/7/7,9:00:00,27.6,59,-0.5,1.5,0
1,22,164,45,16.73111243,2018/7/7,9:30:00,27.5,59,0.5,1,0
1,22,164,45,16.73111243,2018/7/7,10:00:00,26.9,56,2.2,0.5,0
1,22,164,45,16.73111243,2018/7/7,10:30:00,26.5,55,2.1,0.3,0
1,22,164,45,16.73111243,2018/7/7,11:00:00,26.4,53,2.2,0.2,0
1,22,164,45,16.73111243,2018/7/7,11:30:00,25.5,48,1.3,0,0
1,22,164,45,16.73111243,2018/7/7,12:00:00,25.5,49,0.7,-0.3,0
1,22,164,45,16.73111243,2018/7/7,14:20:00,24.4,49,0.5,2,0
1,22,164,45,16.73111243,2018/7/7,14:30:00,25.3,51,0.5,1,0
1,22,164,45,16.73111243,2018/7/7,15:00:00,25.3,48,2.7,0,0
1,22,164,45,16.73111243,2018/7/7,15:30:00,27.2,52,2.2,0.5,0
1,22,164,45,16.73111243,2018/7/7,16:00:00,27.5,52,1.2,1,0
1,22,164,45,16.73111243,2018/7/7,16:30:00,27.1,52,1.6,0,0
1,22,164,45,16.73111243,2018/7/7,17:00:00,25.2,47,-0.5,-1,0
1,22,164,45,16.73111243,2018/7/7,17:30:00,24.6,48,-1.2,-1.7,0
1,22,164,45,16.73111243,2018/7/8,8:50:00,22.4,66,-0.5,2,0
1,22,164,45,16.73111243,2018/7/8,9:00:00,22.7,66,-0.5,1.5,0
1,22,164,45,16.73111243,2018/7/8,9:30:00,23.3,58,0.5,-1,0
1,22,164,45,16.73111243,2018/7/8,10:00:00,24.9,58,3,0,0
1,22,164,45,16.73111243,2018/7/8,10:30:00,25.5,65,2.2,0.5,0
1,22,164,45,16.73111243,2018/7/8,11:00:00,25.9,71,1,0.7,0
1,22,164,45,16.73111243,2018/7/8,11:30:00,26.3,67,-0.5,1,0
1,22,164,45,16.73111243,2018/7/8,12:00:00,26.5,66,0.5,1,0
1,22,164,45,16.73111243,2018/7/8,14:20:00,23.3,59,0.5,1,0
1,22,164,45,16.73111243,2018/7/8,14:30:00,23.9,59,0.5,0.2,0
1,22,164,45,16.73111243,2018/7/8,15:00:00,23.8,55,-0.5,-0.7,0
1,22,164,45,16.73111243,2018/7/8,15:30:00,25.5,60,0.5,0.2,0
1,22,164,45,16.73111243,2018/7/8,16:00:00,26,63,0.5,0.2,0
1,22,164,45,16.73111243,2018/7/8,16:30:00,26.5,63,0.5,0,0
1,22,164,45,16.73111243,2018/7/8,17:00:00,26.8,64,0.5,1,0
1,22,164,45,16.73111243,2018/7/8,17:30:00,27.7,63,-1.7,2,0
1,22,164,45,16.73111243,2018/7/9,8:50:00,23.1,66,-0.5,1.5,0
1,22,164,45,16.73111243,2018/7/9,9:00:00,23.7,64,2.5,0,0
1,22,164,45,16.73111243,2018/7/9,9:30:00,23.7,57,-0.5,-1,0
1,22,164,45,16.73111243,2018/7/9,10:00:00,26.3,55,3,0,0
1,22,164,45,16.73111243,2018/7/9,10:30:00,26.7,59,3,0,0
1,22,164,45,16.73111243,2018/7/9,11:00:00,27.1,58,3,0,0
1,22,164,45,16.73111243,2018/7/9,11:30:00,27.3,59,3,0,0
1,22,164,45,16.73111243,2018/7/9,12:00:00,27.6,59,3,0,0
1,22,164,45,16.73111243,2018/7/9,14:20:00,27,61,-2,1.5,0
1,22,164,45,16.73111243,2018/7/9,14:30:00,27,61,-0.5,1,0
1,22,164,45,16.73111243,2018/7/9,15:00:00,26.5,56,2.5,0,0
1,22,164,45,16.73111243,2018/7/9,15:30:00,26.4,59,3,0,0
1,22,164,45,16.73111243,2018/7/9,16:00:00,25.8,53,2,-0.5,0
1,22,164,45,16.73111243,2018/7/9,16:30:00,26,58,0.5,-1,0
1,22,164,45,16.73111243,2018/7/9,17:00:00,26,59,1.5,-1,0
1,22,164,45,16.73111243,2018/7/9,17:30:00,26.1,58,0.5,0,0
1,22,164,45,16.73111243,2018/7/10,8:50:00,28.5,58,-1.5,1.5,0
1,22,164,45,16.73111243,2018/7/10,9:00:00,30,52,-2.5,2.5,0
1,22,164,45,16.73111243,2018/7/10,9:30:00,28.8,58,0.5,1,0
1,22,164,45,16.73111243,2018/7/10,10:00:00,27.2,54,2.5,0,0
1,22,164,45,16.73111243,2018/7/10,10:30:00,26.5,53,2.5,0,0
1,22,164,45,16.73111243,2018/7/10,11:00:00,25.3,51,2,-0.3,0
1,22,164,45,16.73111243,2018/7/10,11:30:00,25.1,56,2.3,0,0
1,22,164,45,16.73111243,2018/7/10,12:00:00,25.6,55,2.2,0,0
1,22,164,45,16.73111243,2018/7/10,14:20:00,24.6,57,0.5,0.5,0
1,22,164,45,16.73111243,2018/7/10,14:30:00,25.1,56,2.5,0,0
1,22,164,45,16.73111243,2018/7/10,15:00:00,26.4,58,3,0,0
1,22,164,45,16.73111243,2018/7/10,15:30:00,27.2,59,3,0.2,0
1,22,164,45,16.73111243,2018/7/10,16:00:00,27.8,61,0.5,1,0
1,22,164,45,16.73111243,2018/7/10,16:30:00,28.2,60,1.5,0.5,0
1,22,164,45,16.73111243,2018/7/10,17:00:00,28.2,61,1.5,0,0
1,22,164,45,16.73111243,2018/7/10,17:30:00,28.5,61,0.5,1,0
1,22,164,45,16.73111243,2018/7/11,8:50:00,27.2,61,-2,2,0
1,22,164,45,16.73111243,2018/7/11,9:00:00,27.2,61,-0.5,1,0
1,22,164,45,16.73111243,2018/7/11,9:30:00,29.4,56,-2,2,0
1,22,164,45,16.73111243,2018/7/11,10:00:00,26.5,54,0.5,-0.5,0
1,22,164,45,16.73111243,2018/7/11,10:30:00,25.9,52,-0.5,-1,0
1,22,164,45,16.73111243,2018/7/11,11:00:00,25.4,53,-1,-1.5,0
1,22,164,45,16.73111243,2018/7/11,11:30:00,25.6,53,0.5,-1,0
1,22,164,45,16.73111243,2018/7/11,12:00:00,25,52,-2,-2,0
1,22,164,45,16.73111243,2018/7/11,14:20:00,24.3,58,0.5,1,0
1,22,164,45,16.73111243,2018/7/11,14:30:00,24.6,58,2.5,0,0
1,22,164,45,16.73111243,2018/7/11,15:00:00,24.8,54,1,-0.5,0
