NO,Age,Gender(male:1 female:0),Height,Weight,BMI,room,date,time,temp£¨¡æ£©,humi£¨%£©,CO2,air speed,thermal sensation(-3~3),thermal acceptance£¨1:accept£¬-1:unaccept£©,thermal preference(cool:-1 unchange:0 warmer:1)
1,24,1,185,85,24.83564646,202,2019/1/9,8:40:00,21,14,501,0.05,0,1,0
1,24,1,185,85,24.83564646,202,2019/1/9,9:00:00,22,15,795,0.11,0,1,1
1,24,1,185,85,24.83564646,202,2019/1/9,9:30:00,24.1,14,895,0.11,0.5,1,0
1,24,1,185,85,24.83564646,202,2019/1/9,10:00:00,25.2,16,1097,0.08,0.8,1,0
1,24,1,185,85,24.83564646,202,2019/1/9,10:30:00,25.9,15,1167,0.07,0.5,1,0
1,24,1,185,85,24.83564646,202,2019/1/9,11:00:00,26.1,15,1164,0.09,0.7,1,-1
1,24,1,185,85,24.83564646,202,2019/1/9,11:30:00,26.6,15,1217,0.05,1,1,-1
1,24,1,185,85,24.83564646,202,2019/1/9,12:00:00,26.9,16,1287,0.01,1,1,-1
1,24,1,185,85,24.83564646,202,2019/1/9,14:10:00,24,13,633,0.02,0,1,1
1,24,1,185,85,24.83564646,202,2019/1/9,14:30:00,23.4,15,753,0.06,0,1,0
1,24,1,185,85,24.83564646,202,2019/1/9,15:00:00,23.3,15,733,0.12,-0.5,1,1
1,24,1,185,85,24.83564646,202,2019/1/9,15:30:00,23.2,15,777,0.11,-0.5,1,1
1,24,1,185,85,24.83564646,202,2019/1/9,16:00:00,22.8,15,743,0,-0.7,1,1
1,24,1,185,85,24.83564646,202,2019/1/9,16:30:00,22.8,16,786,0.02,-1,1,1
1,24,1,185,85,24.83564646,202,2019/1/9,17:00:00,21.5,16,561,0.1,-1,1,1
1,24,1,185,85,24.83564646,202,2019/1/9,17:30:00,21.1,17,577,0.08,-1.4,1,1
1,24,1,185,85,24.83564646,202,2019/1/10,8:40:00,21.4,17,538,0.01,0,1,1
1,24,1,185,85,24.83564646,202,2019/1/10,9:00:00,22.4,18,672,0.01,-0.3,1,1
1,24,1,185,85,24.83564646,202,2019/1/10,9:30:00,24.1,17,858,0.01,0,1,0
1,24,1,185,85,24.83564646,202,2019/1/10,10:00:00,25.2,16,945,0.01,0,1,0
1,24,1,185,85,24.83564646,202,2019/1/10,10:30:00,26.1,17,1177,0.01,0,1,0
1,24,1,185,85,24.83564646,202,2019/1/10,11:00:00,26.1,18,1512,0.02,0.7,1,-1
1,24,1,185,85,24.83564646,202,2019/1/10,11:30:00,26.8,17,1230,0.01,1,1,-1
1,24,1,185,85,24.83564646,202,2019/1/10,12:00:00,27.1,17,1293,0.01,1,1,-1
1,24,1,185,85,24.83564646,202,2019/1/10,14:10:00,nan,nan,nan,nan,nan,nan,nan
1,24,1,185,85,24.83564646,202,2019/1/10,14:30:00,nan,nan,nan,nan,nan,nan,nan
1,24,1,185,85,24.83564646,202,2019/1/10,15:00:00,nan,nan,nan,nan,nan,nan,nan
1,24,1,185,85,24.83564646,202,2019/1/10,15:30:00,nan,nan,nan,nan,nan,nan,nan
1,24,1,185,85,24.83564646,202,2019/1/10,16:00:00,nan,nan,nan,nan,nan,nan,nan
1,24,1,185,85,24.83564646,202,2019/1/10,16:30:00,nan,nan,nan,nan,nan,nan,nan
1,24,1,185,85,24.83564646,202,2019/1/10,17:00:00,nan,nan,nan,nan,nan,nan,nan
1,24,1,185,85,24.83564646,202,2019/1/10,17:30:00,nan,nan,nan,nan,nan,nan,nan
1,24,1,185,85,24.83564646,202,2019/1/11,8:40:00,21.3,21,674,0.01,1,1,-1
1,24,1,185,85,24.83564646,202,2019/1/11,9:00:00,23.5,19,855,0.01,0,1,0
1,24,1,185,85,24.83564646,202,2019/1/11,9:30:00,25.2,19,1070,0.03,0,1,0
1,24,1,185,85,24.83564646,202,2019/1/11,10:00:00,26.1,20,1274,0.02,0,1,0
1,24,1,185,85,24.83564646,202,2019/1/11,10:30:00,26.6,18,1195,0.03,0.2,1,0
1,24,1,185,85,24.83564646,202,2019/1/11,11:00:00,24.8,18,930,0.1,0,1,0
1,24,1,185,85,24.83564646,202,2019/1/11,11:30:00,24,19,963,0.07,0,1,0
1,24,1,185,85,24.83564646,202,2019/1/11,12:00:00,23.8,19,877,0.08,-0.4,1,0
1,24,1,185,85,24.83564646,202,2019/1/11,14:10:00,24.1,21,1207,0.02,-0.2,1,0
1,24,1,185,85,24.83564646,202,2019/1/11,14:30:00,24.1,23,1734,0.06,-0.5,1,1
1,24,1,185,85,24.83564646,202,2019/1/11,15:00:00,24.5,20,1183,0.04,-0.5,1,0
1,24,1,185,85,24.83564646,202,2019/1/11,15:30:00,22.9,19,682,0.05,-1,1,1
1,24,1,185,85,24.83564646,202,2019/1/11,16:00:00,22.7,20,691,0.08,-1,1,1
1,24,1,185,85,24.83564646,202,2019/1/11,16:30:00,22.8,20,761,0.1,-1.3,1,1
1,24,1,185,85,24.83564646,202,2019/1/11,17:00:00,22.6,20,773,0.08,-1,1,1
1,24,1,185,85,24.83564646,202,2019/1/11,17:30:00,21.5,22,719,0.03,-1,1,1
1,24,1,185,85,24.83564646,202,2019/1/14,8:40:00,22.3,20,608,0.02,0,1,0
