no,"sex(male:1,female:0)",age,height,weight,bmi,preference, experimental environment,sensitivity,date,time,room((meeting:1 reception:2 drinks:3)),thermal sensation,thermal comfort(com:1 discom:0),thermal preference (C:1 U:2 W:3),seat number,temp,humid
2,1,23,173.0,85.0,28.40054796,-1,0,0,2021/1/10,10:00:00,1.0,-0.5,1.0,2.0,4.0,22.9,16.8
15,1,22,180.0,66.0,20.37037037,-1,1,1,2021/1/10,10:00:00,1.0,0.0,1.0,2.0,6.0,22.9,16.8
18,1,23,180.0,65.0,20.0617284,1,1,1,2021/1/10,10:00:00,1.0,-1.0,1.0,3.0,8.0,22.9,16.8
21,1,23,175.0,67.0,21.87755102,0,0,1,2021/1/10,10:00:00,1.0,-0.5,1.0,3.0,5.0,22.9,16.8
22,1,23,176.0,65.0,20.9839876,0,1,1,2021/1/10,10:00:00,2.0,1.0,0.0,1.0,14.0,28.2,13.4
24,0,24,160.0,50.0,19.53125,0,0,2,2021/1/10,10:00:00,2.0,0.0,1.0,2.0,13.0,28.2,13.4
26,1,22,175.0,65.0,21.2244898,-1,1,0,2021/1/10,10:00:00,3.0,1.0,1.0,2.0,16.0,29.4,13.6
28,0,24,164.0,47.0,17.47471743,0,1,1,2021/1/10,10:00:00,2.0,0.0,1.0,2.0,15.0,28.2,13.4
34,0,22,163.0,60.0,22.58270917,-1,0,1,2021/1/10,10:00:00,3.0,2.4,0.0,1.0,2.0,29.4,13.6
37,0,23,167.0,53.0,19.00390835,1,1,0,2021/1/10,10:00:00,3.0,2.0,0.0,1.0,1.0,29.4,13.6
38,1,21,185.0,74.0,21.62162162,-1,0,1,2021/1/10,10:00:00,1.0,0.0,1.0,2.0,3.0,22.9,16.8
44,1,23,181.0,76.0,23.19831507,1,0,1,2021/1/10,10:00:00,1.0,0.0,1.0,2.0,7.0,22.9,16.8
46,1,22,179.0,77.0,24.03170937,0,1,0,2021/1/10,10:00:00,1.0,0.0,1.0,2.0,12.0,22.9,16.8
47,0,23,174.0,51.0,16.84502576,1,1,1,2021/1/10,10:00:00,1.0,0.0,1.0,2.0,10.0,22.9,16.8
49,0,23,170.0,60.0,20.76124567,-1,1,1,2021/1/10,10:00:00,1.0,0.0,1.0,2.0,11.0,22.9,16.8
50,1,25,190.0,95.0,26.31578947,0,-1,1,2021/1/10,10:00:00,2.0,1.0,0.0,1.0,9.0,28.2,13.4
2,1,23,173.0,85.0,28.40054796,-1,0,0,2021/1/10,10:30:00,1.0,0.5,1.0,2.0,4.0,24.0,16.4
15,1,22,180.0,66.0,20.37037037,-1,1,1,2021/1/10,10:30:00,1.0,0.0,1.0,2.0,6.0,24.0,16.4
18,1,23,180.0,65.0,20.0617284,1,1,1,2021/1/10,10:30:00,1.0,0.0,1.0,2.0,8.0,24.0,16.4
21,1,23,175.0,67.0,21.87755102,0,0,1,2021/1/10,10:30:00,1.0,0.0,1.0,2.0,5.0,24.0,16.4
22,1,23,176.0,65.0,20.9839876,0,1,1,2021/1/10,10:30:00,2.0,0.0,1.0,2.0,14.0,24.7,15.8
24,0,24,160.0,50.0,19.53125,0,0,2,2021/1/10,10:30:00,2.0,1.0,0.0,1.0,13.0,24.7,15.8
